StudentID,Age,Gender,School_Type,Socioeconomic_Status,Mathematics_Score,Science_Score,Language_Arts_Score,Social_Studies_Score,Mathematics_Improvement,Science_Improvement,Language_Arts_Improvement,Social_Studies_Improvement,Logical_Reasoning,Critical_Thinking,Analytical_Ability,Creativity,Communication,Emotional_Intelligence,Social_Skills,Leadership,Sports_Participation,Sports_Involvement,Arts_Participation,Arts_Involvement,Music_Participation,Music_Involvement,Science_Club_Participation,Science_Club_Involvement,Debate_Participation,Debate_Involvement,Community_Service_Participation,Community_Service_Involvement,Learning_Style,STEM_Score,Business_Finance_Score,Arts_Media_Score,Healthcare_Score,Education_Score,Social_Services_Score,Trades_Manufacturing_Score,Government_Law_Score,Primary_Career_Recommendation,Secondary_Career_Recommendations,Recommendation_Confidence
STU0012,9,Male,Public,High,55,97,71,64,-3,0,-3,-4,10,2,8,1,8,1,5,6,1,1,0,0,0,0,1,2,1,4,0,0,Kinesthetic,86.75185798765426,46.68511306836925,37.4595194072771,25.84117378808476,67.66926777579107,32.493266851819875,44.49894874395377,61.68068613198949,STEM,"['Education', 'Government_Law']",19.08259021186319
STU0013,12,Male,Public,Middle,96,83,65,58,7,0,0,7,3,4,8,7,6,8,2,6,0,0,1,1,0,0,1,5,0,0,0,0,Reading/Writing,55.1137110419453,43.58629838158597,59.233599199115716,69.26677129034815,45.74176186461743,49.706652465622625,63.415478827782344,46.51806098114049,Healthcare,"['Trades_Manufacturing', 'Arts_Media']",5.851292462565802
STU0014,11,Male,Public,Middle,70,84,91,83,1,4,0,-1,6,10,7,7,9,6,9,3,0,0,0,0,1,3,0,0,0,0,1,4,Visual,62.537599658392516,49.33821038118084,72.64204571044522,79.32952426687942,87.74853485912874,64.9417187597434,45.88153446905734,35.7878223293605,Education,"['Healthcare', 'Arts_Media']",8.419010592249322
STU0015,8,Male,Public,Middle,42,88,81,79,4,3,2,-6,5,2,5,10,5,1,6,7,0,0,0,0,0,0,0,0,0,0,0,0,Reading/Writing,44.47292279811205,47.89554590581205,66.80996100775806,32.060800121062634,57.03707817868552,52.882365269016304,63.65838979485006,67.78531988696889,Government_Law,"['Arts_Media', 'Trades_Manufacturing']",0.9753588792108303
STU0016,10,Male,Public,High,67,78,70,52,-4,1,0,1,3,4,9,1,4,5,7,2,1,5,0,0,1,1,1,3,0,0,1,2,Kinesthetic,61.7683378754051,27.136414064985626,26.374031114937303,43.89028039062617,53.23221099842601,52.38194801947939,40.24927966730041,19.218017661331626,STEM,"['Education', 'Social_Services']",8.53612687697909
STU0017,12,Male,Public,High,84,54,63,72,1,0,4,0,2,2,1,3,2,10,9,2,0,0,0,0,1,5,1,3,1,3,0,0,Kinesthetic,21.368047235799846,27.163215284795744,28.03390035399509,55.9463917193326,52.98331087709752,75.5830956408067,66.64125851826624,61.93110902695812,Social_Services,"['Trades_Manufacturing', 'Government_Law']",8.941837122540463
STU0018,12,Male,Public,Middle,64,67,68,80,1,7,2,11,2,7,4,10,1,2,8,1,1,5,0,0,0,0,1,2,0,0,1,3,Reading/Writing,30.566472033854712,19.4388085258028,57.6749856002108,43.19010271332387,55.27231667421376,52.281484629720076,73.98222193638166,21.706287492471912,Trades_Manufacturing,"['Arts_Media', 'Education']",16.30723633617086
STU0019,8,Female,Public,Middle,47,45,76,72,-1,0,8,0,10,3,10,6,4,6,8,6,0,0,0,0,1,4,0,0,1,2,0,0,Reading/Writing,69.83738695870491,32.46304008225404,35.62951090992954,30.288761111817124,43.31832653726831,39.671364257475226,46.525749000331984,56.802805839723305,STEM,"['Government_Law', 'Trades_Manufacturing']",13.034581118981606
STU0020,10,Female,Public,Middle,67,76,92,86,1,8,0,0,10,7,7,4,8,1,3,8,0,0,0,0,0,0,0,0,0,0,1,3,Kinesthetic,75.23746298431965,49.30512481686358,55.87506257630764,45.78727581490605,47.74758623684579,36.847181232374496,55.284132452802346,63.48825112383635,STEM,"['Government_Law', 'Arts_Media']",11.7492118604833
STU0021,11,Female,Public,Low,57,67,49,65,-7,2,10,3,10,2,5,5,10,4,8,4,0,0,0,0,0,0,0,0,0,0,0,0,Reading/Writing,40.892876127461506,32.33581776148867,52.581667799630374,43.75836431743625,75.80263019806254,45.04387359657667,34.041754613219425,35.88021398760354,Education,"['Arts_Media', 'Social_Services']",23.22096239843217
STU0022,7,Male,Public,Middle,77,69,79,36,4,0,7,0,4,4,4,9,9,3,4,4,1,3,0,0,0,0,1,4,0,0,0,0,Visual,36.56427946440898,29.1152150426983,72.73687458213294,39.37539282250428,59.07975272413627,19.36933706623605,58.849132260330904,28.43615931155933,Arts_Media,"['Education', 'Trades_Manufacturing']",13.657121857996671
STU0023,10,Male,Public,Middle,81,88,86,72,0,-1,9,4,9,7,5,10,1,6,7,7,0,0,0,0,0,0,0,0,0,0,0,0,Visual,53.78836707918286,47.47785683222087,52.489330618426465,73.74244870048544,36.02748669612663,52.15785984168606,70.71783562807077,54.96665572557593,Healthcare,"['Trades_Manufacturing', 'Government_Law']",3.0246130724146667
STU0024,8,Female,Public,Low,54,63,47,72,0,1,3,-3,2,6,1,9,2,7,6,8,0,0,0,0,0,0,1,1,0,0,0,0,Auditory,33.17020726576389,50.23159258596011,47.059614743063364,56.949931887909834,41.57393879642881,46.08028240379169,64.09851916640464,57.20804631591703,Trades_Manufacturing,"['Government_Law', 'Healthcare']",6.890472850487612
STU0025,12,Male,Private,Low,59,66,67,74,6,4,0,0,5,3,4,6,3,5,1,2,0,0,0,0,1,5,0,0,0,0,0,0,Visual,34.18417030642376,31.76765855840805,51.502950934023225,47.53926295448004,35.805782145934884,41.90657070017995,42.88850202731586,37.66333869662813,Arts_Media,"['Healthcare', 'Trades_Manufacturing']",3.963687979543188
STU0026,11,Male,Private,Middle,81,70,54,86,4,0,0,4,8,8,1,1,8,8,4,5,0,0,0,0,0,0,1,1,1,2,0,0,Visual,52.10296194257251,55.48956203620223,30.425415450246863,77.15084241335971,52.174846327956615,47.79195104307238,35.88896589631445,47.71467426513609,Healthcare,"['Business_Finance', 'Education']",21.661280377157482
STU0027,10,Female,Private,High,57,42,76,40,0,6,10,7,10,9,2,6,9,3,9,3,1,5,1,1,0,0,0,0,0,0,0,0,Reading/Writing,40.90617093441016,41.54246445340689,60.610806259471374,53.67441249431164,70.77520080777725,46.16620272857943,55.9795280083372,8.68838521189373,Education,"['Arts_Media', 'Trades_Manufacturing']",10.164394548305879
STU0028,7,Female,Public,Middle,53,66,64,66,-3,0,7,0,2,4,9,2,3,3,9,8,0,0,0,0,0,0,0,0,0,0,0,0,Kinesthetic,41.0533382086491,47.48429491342348,30.675258282783723,31.426720467307117,58.87574796122136,48.06781146518219,58.47384709697414,42.649095583671645,Education,"['Trades_Manufacturing', 'Social_Services']",0.40190086424721727
STU0029,7,Female,Public,Middle,52,32,68,56,8,1,-3,0,7,9,5,7,4,2,7,1,0,0,0,0,0,0,0,0,0,0,0,0,Kinesthetic,37.14544606353319,34.85453275953768,41.60018699879273,45.31835141767419,59.10703944301857,31.965294181072224,78.83241403283064,19.198147311933532,Trades_Manufacturing,"['Education', 'Healthcare']",19.72537458981207
STU0030,9,Male,Public,Middle,75,61,63,51,-4,-4,6,9,6,3,9,2,8,9,3,7,1,5,1,1,0,0,0,0,1,3,1,4,Auditory,54.07278298736669,42.756265697612015,28.20431992947371,53.68328389123056,34.940196169761684,55.059982531025376,13.550079967766765,53.005543732697426,Social_Services,"['STEM', 'Healthcare']",0.9871995436586829
STU0031,9,Female,Public,Middle,74,82,80,68,5,4,-2,0,1,2,9,2,3,4,3,6,0,0,1,4,0,0,0,0,0,0,1,5,Visual,38.73317079664794,32.52713509733173,24.038600715080126,52.02833413499579,25.75938896245124,36.59610504209411,18.297388412406562,49.092486670037154,Healthcare,"['Government_Law', 'STEM']",2.935847464958634
STU0032,8,Female,Public,Middle,59,76,73,80,-5,0,3,1,7,8,10,8,6,2,8,2,1,3,0,0,0,0,1,4,0,0,0,0,Visual,73.27706957708321,28.355563980172843,57.03823878882339,39.20411288627055,56.06639404120733,37.11056531415388,49.613421174565964,23.416341511325193,STEM,"['Arts_Media', 'Education']",16.23883078825982
STU0033,10,Female,Public,Middle,70,61,73,74,6,9,6,10,10,10,5,8,1,7,9,6,0,0,0,0,0,0,1,4,0,0,0,0,Auditory,56.404931343666,54.20387998747351,41.33727678517112,64.50949478075356,44.612080251778465,75.68584754567246,41.870469731666994,49.50128566418998,Social_Services,"['Healthcare', 'STEM']",11.176352764918903
STU0034,10,Female,Private,Low,92,70,72,59,7,5,9,2,9,6,3,5,7,8,3,8,0,0,0,0,1,4,0,0,0,0,0,0,Kinesthetic,59.28019503811435,46.5840708869756,48.290235478711566,52.10236257562478,53.43277965986475,42.17082768222045,59.79347058003904,63.16620024608499,Government_Law,"['Trades_Manufacturing', 'STEM']",3.3727296660459487
STU0035,12,Female,Public,Middle,55,53,78,67,-7,2,3,0,1,8,4,6,5,3,8,1,0,0,0,0,0,0,0,0,0,0,0,0,Kinesthetic,29.863428939971204,35.961276384435,45.05537391208506,47.87461879905225,65.71541452011918,50.4689775025972,69.16713908564957,26.163263591731926,Trades_Manufacturing,"['Education', 'Social_Services']",3.451724565530384
STU0036,12,Female,Charter,Low,40,69,66,83,4,8,1,1,2,3,5,7,4,9,6,8,1,1,0,0,1,5,0,0,0,0,1,5,Auditory,27.431413391796433,47.723576076200644,48.688206731188345,62.616392626092185,30.08600886556635,63.49370199590879,51.912342007253955,63.881496813005526,Government_Law,"['Social_Services', 'Healthcare']",0.3877948170967329
STU0037,12,Male,Private,Middle,76,100,95,80,3,4,2,-1,7,8,6,9,8,4,5,10,0,0,0,0,0,0,0,0,0,0,0,0,Visual,48.07700890790734,74.65367901856028,68.7245880023395,67.92414952419442,67.02285409164173,44.75708169056208,54.132197456502325,87.05857780931348,Government_Law,"['Business_Finance', 'Arts_Media']",12.404898790753194
STU0038,9,Female,Public,High,68,97,51,61,5,7,7,4,1,10,6,7,8,7,7,1,0,0,1,3,0,0,0,0,0,0,0,0,Kinesthetic,33.594900411200044,47.124287583897356,67.9202413312014,70.31877703550141,63.9732445670538,62.11880967941187,56.1962628298281,19.84530789739154,Healthcare,"['Arts_Media', 'Education']",2.3985357043000164
STU0039,10,Female,Private,Low,59,70,44,60,3,-2,5,-2,2,10,8,9,7,9,2,9,1,1,0,0,0,0,0,0,0,0,0,0,Auditory,37.566710510295366,73.81878800094138,60.88008276027435,80.75154411929894,38.897113773740756,44.44514595361279,47.32694150276116,45.455090154920434,Healthcare,"['Business_Finance', 'Arts_Media']",6.93275611835756
STU0040,10,Female,Public,Middle,79,72,42,44,-2,4,1,5,3,2,8,5,1,7,1,1,0,0,0,0,1,1,0,0,0,0,1,5,Visual,39.191098023821134,11.804328938610357,34.050860230695065,32.73251627633817,14.564830908226611,45.292943172425964,34.4488151353805,4.5086858637493155,Social_Services,"['STEM', 'Trades_Manufacturing']",6.101845148604831
STU0041,7,Male,Private,Middle,82,55,38,63,0,4,-7,2,2,7,8,1,10,5,2,8,1,4,1,3,0,0,1,4,0,0,1,3,Kinesthetic,50.77783551593603,58.9048175935772,31.117845408661317,56.05858483513757,59.194386773055555,37.501042682406386,36.311891233710284,57.63099978095624,Education,"['Business_Finance', 'Government_Law']",0.2895691794783559
STU0042,9,Male,Public,High,36,57,80,43,10,-5,-10,3,2,2,3,4,6,10,2,8,0,0,1,2,0,0,0,0,1,1,0,0,Kinesthetic,10.875558393461056,38.63397495903095,50.47985657757924,56.68016251132537,41.84901668929884,40.35785044363959,57.51297310559836,71.90472855178827,Government_Law,"['Trades_Manufacturing', 'Healthcare']",14.391755446189904
STU0043,11,Female,Private,Middle,60,75,78,100,-3,9,3,10,2,2,4,7,3,1,4,10,0,0,0,0,0,0,0,0,0,0,0,0,Reading/Writing,38.719679057552945,50.73220759137397,44.19989992630605,24.54591700515845,45.92655445978714,18.771233681687622,51.180952887379895,77.69473944460404,Government_Law,"['Trades_Manufacturing', 'Business_Finance']",26.513786557224144
STU0044,9,Female,Public,Middle,100,62,88,57,3,-3,-3,-5,7,5,4,2,8,2,2,9,0,0,0,0,1,5,0,0,0,0,0,0,Auditory,52.926046967279014,55.38209375257909,41.106368939339745,40.41708800581883,32.36958659784159,24.032138651486864,34.788725669547794,76.89962260063258,Government_Law,"['Business_Finance', 'STEM']",21.517528848053495
STU0045,11,Female,Charter,High,78,83,54,86,7,-4,0,2,10,9,7,9,10,7,4,10,0,0,0,0,0,0,0,0,0,0,0,0,Visual,55.8202890194009,70.43662075763017,64.62707887804227,78.03651735638387,53.0625294083672,42.91102717378141,48.292368711406716,69.12804313901044,Healthcare,"['Business_Finance', 'Government_Law']",7.599896598753702
STU0046,7,Female,Public,Middle,80,93,81,97,-2,-10,0,5,4,2,5,2,3,5,4,10,0,0,1,3,0,0,1,2,1,1,0,0,Reading/Writing,58.44143412332157,55.674547621124994,32.43403502942353,53.28039610018678,42.892451388040534,43.5025229146114,40.96388805442467,86.50973091861263,Government_Law,"['STEM', 'Business_Finance']",28.06829679529106
STU0047,8,Female,Public,Middle,87,74,70,73,-5,4,12,-1,4,9,4,1,8,9,1,4,0,0,0,0,0,0,0,0,1,4,0,0,Auditory,44.99310899522025,61.84682709210711,35.38033467159399,70.25456101594149,37.20251176095,47.53791214593483,31.79460529353354,56.06464608758931,Healthcare,"['Business_Finance', 'Government_Law']",8.407733923834378
STU0048,10,Female,Private,Middle,70,71,72,68,-4,-6,2,6,8,8,10,5,5,3,9,3,0,0,1,3,0,0,1,4,1,3,0,0,Reading/Writing,76.98022662345764,46.5748866845196,58.125115553411824,48.719129455322474,66.01038522683797,49.44348012942874,32.68316179009169,57.39446675575005,STEM,"['Education', 'Arts_Media']",10.969841396619671
STU0049,7,Female,Private,High,81,44,79,50,3,0,5,0,5,10,5,2,5,9,3,4,0,0,0,0,0,0,0,0,0,0,1,1,Auditory,40.390839333344026,56.95104016597228,27.767964865968885,80.09052971221739,34.35568447250002,56.79683796294651,37.206531999368444,49.39079362436427,Healthcare,"['Business_Finance', 'Social_Services']",23.13948954624511
STU0050,10,Female,Public,Low,80,81,58,62,-4,6,4,3,1,4,1,6,8,10,4,8,0,0,0,0,0,0,0,0,0,0,0,0,Auditory,20.744355458364367,55.19135077675781,48.40325709670118,63.4699525501047,58.926187540910945,61.040178858684925,46.28210584945873,31.543061367182233,Healthcare,"['Social_Services', 'Education']",2.4297736914197756
STU0051,12,Female,Public,Middle,78,52,100,94,1,2,-10,1,2,5,4,2,3,6,3,4,1,4,0,0,0,0,0,0,1,3,1,3,Visual,25.055743393243723,43.112220070667576,22.35254044748892,56.17620438400009,41.5033285599661,58.42257085753011,33.090850871264436,54.74541565148402,Social_Services,"['Healthcare', 'Government_Law']",2.246366473530024
STU0052,8,Male,Public,Middle,65,63,89,75,8,-1,0,2,10,6,7,6,4,10,1,9,0,0,0,0,0,0,0,0,1,4,0,0,Visual,67.20799272810159,42.51774886808773,38.4192440452494,73.0097873591237,24.811410435821923,60.386838093067894,31.45475069548983,85.45709902845505,Government_Law,"['Healthcare', 'STEM']",12.447311669331341
STU0053,8,Male,Charter,Middle,72,84,62,70,1,-5,-4,2,3,9,3,6,1,10,10,3,0,0,1,1,1,5,1,1,0,0,0,0,Visual,28.455182319671035,62.4967656460258,28.19583378649827,75.99494847517236,53.76628061062681,74.34984196483947,51.30519099148248,29.407102931135746,Healthcare,"['Social_Services', 'Business_Finance']",1.6451065103328943
STU0054,7,Female,Private,Middle,61,85,53,89,-1,1,10,1,4,10,7,10,9,3,7,5,1,5,0,0,0,0,0,0,0,0,0,0,Kinesthetic,30.76464165236291,57.45745567008322,74.98811884567351,60.55996198485259,79.56813321274173,38.19910062891058,78.23996885730314,56.53941269819701,Education,"['Trades_Manufacturing', 'Arts_Media']",1.328164355438588
STU0055,8,Male,Private,Middle,70,63,68,80,2,6,-7,0,9,6,5,2,3,1,8,8,0,0,0,0,1,3,1,3,0,0,0,0,Auditory,66.5856236945631,63.289765986593785,22.716875667767297,44.262939304095056,41.813078219295214,37.15714082725873,38.317899803354976,62.80680233650866,STEM,"['Business_Finance', 'Government_Law']",3.2958577079693114
STU0056,11,Male,Public,Low,52,63,72,67,1,5,0,-1,10,6,1,2,8,10,1,8,1,5,0,0,1,2,0,0,0,0,1,3,Reading/Writing,42.512466149862256,49.549854215119424,30.14096158437961,69.24820150389517,45.89344308030072,50.22475961625234,18.1033725900177,62.04369497300617,Healthcare,"['Government_Law', 'Social_Services']",7.204506530889006
STU0057,8,Male,Public,Middle,58,59,85,73,4,10,0,3,10,6,4,6,1,9,9,1,0,0,0,0,1,2,0,0,1,4,0,0,Auditory,49.67308164337741,32.759155574927014,45.558098265692216,52.61722751885451,53.296855104111295,69.36658533079328,45.409456340703535,42.70402782770785,Social_Services,"['Education', 'Healthcare']",16.06973022668199
STU0058,10,Male,Public,Middle,65,52,52,58,10,-1,-2,2,5,10,10,9,1,3,9,7,0,0,0,0,1,1,0,0,0,0,1,4,Visual,62.444637689134616,58.73125676574392,50.22884748560264,51.28853827945372,43.6406716972077,46.720793551200344,60.15128123038153,38.23203288530739,STEM,"['Trades_Manufacturing', 'Business_Finance']",2.293356458753088
STU0059,10,Male,Private,High,55,60,74,61,3,-4,2,-1,6,1,3,4,6,2,1,5,0,0,0,0,1,2,0,0,1,2,0,0,Visual,28.120518533672325,41.06577272814905,33.87101705032695,27.774084150198025,46.92322560755679,25.156689356424046,43.30037946020487,65.68551169310484,Government_Law,"['Education', 'Trades_Manufacturing']",18.762286085548055
STU0060,10,Male,Public,Low,62,45,47,66,12,3,1,3,3,1,4,10,6,1,8,4,0,0,0,0,0,0,0,0,0,0,0,0,Reading/Writing,30.86936618195985,18.639482512126232,66.6727731092702,20.543740269925156,48.666790232088395,35.134863150851345,45.10690179856757,50.43013059404673,Arts_Media,"['Government_Law', 'Education']",16.242642515223466
STU0061,10,Female,Private,High,67,80,76,78,4,3,2,0,2,9,6,4,7,4,4,1,0,0,0,0,1,1,0,0,0,0,1,4,Reading/Writing,38.87816355620809,34.94456478934917,44.65404616439289,68.25865235732554,44.663945959053265,47.878333409068695,36.545160358390106,41.559710394973244,Healthcare,"['Social_Services', 'Education']",20.38031894825685
STU0062,11,Female,Public,Middle,76,75,68,51,-1,1,4,9,2,10,10,2,1,7,3,4,1,4,0,0,0,0,0,0,0,0,0,0,Visual,43.37580933804722,49.78484781306777,12.035501542616316,89.57249401312298,11.397543675419836,47.07073533012361,33.48660954664471,35.59973869304926,Healthcare,"['Business_Finance', 'Social_Services']",39.78764620005521
STU0063,9,Male,Public,Low,84,78,99,71,13,-1,3,14,6,2,4,4,3,3,7,3,0,0,0,0,0,0,0,0,1,1,0,0,Reading/Writing,57.163891134976616,29.511618312361982,26.49068790050897,18.959960960427235,49.74796656094514,36.85638490215346,43.257922799118475,48.55526430153152,STEM,"['Education', 'Government_Law']",7.415924574031479
STU0064,12,Male,Public,Middle,63,55,46,64,1,-10,3,8,6,5,7,10,4,10,2,1,0,0,0,0,1,1,1,3,0,0,0,0,Auditory,51.128293392694715,32.25074370624784,63.82371351331171,59.581508346442355,32.0651536287844,47.157673150453036,39.012305337054094,22.75456377994651,Arts_Media,"['Healthcare', 'STEM']",4.242205166869354
STU0065,7,Female,Public,Low,90,52,90,56,-3,-3,7,8,7,9,8,7,9,6,3,9,1,4,1,2,0,0,0,0,0,0,0,0,Auditory,55.551132425823134,76.1325287101426,73.53833335361855,65.92134504144093,54.77387556236426,41.50758660143731,46.2646735742007,73.03347649091837,Business_Finance,"['Arts_Media', 'Government_Law']",2.5941953565240397
STU0066,10,Male,Public,High,84,70,44,64,13,4,-6,6,9,6,3,4,8,3,9,7,1,5,0,0,0,0,0,0,0,0,0,0,Visual,59.5725189811133,44.24260801834168,40.0084089698327,45.698122616859294,71.58828166066,57.41487756632745,36.94421722969304,46.164558484566484,Education,"['STEM', 'Social_Services']",12.015762679546704
STU0067,8,Female,Public,High,77,70,50,35,-1,3,5,0,3,9,3,6,4,9,5,7,0,0,0,0,1,2,0,0,0,0,1,5,Kinesthetic,29.722964785127786,54.46400778630813,48.43513054580835,75.23561063783035,41.59326897814575,66.34221474606593,55.90006139659839,46.69197958170764,Healthcare,"['Social_Services', 'Trades_Manufacturing']",8.893395891764413
STU0068,10,Female,Public,Low,72,67,44,58,-1,6,-3,-7,7,2,2,5,10,7,6,2,1,3,0,0,0,0,0,0,0,0,0,0,Reading/Writing,30.127586251385324,26.588464153774495,55.624416124615095,35.64516009128854,71.57432498672074,47.65122975453314,41.9960356045315,11.469788142259684,Education,"['Arts_Media', 'Social_Services']",15.949908862105644
STU0069,8,Female,Private,Low,74,65,73,53,0,3,-1,-3,7,10,6,7,7,6,3,7,0,0,0,0,0,0,0,0,0,0,0,0,Kinesthetic,58.37380590736967,61.85140084299208,45.593689790452196,67.70827741593776,45.683139363625344,42.16260808152181,50.79845902217376,53.85544195913188,Healthcare,"['Business_Finance', 'STEM']",5.85687657294568
STU0070,12,Male,Public,Middle,87,95,52,65,2,5,2,-1,8,1,6,3,9,4,3,4,1,3,0,0,0,0,1,4,0,0,1,3,Visual,67.06520135353425,28.820004406333055,44.778396749443885,31.320835279954107,77.26279901227883,38.36902556136244,29.131620574885225,38.72031524312075,Education,"['STEM', 'Arts_Media']",10.197597658744584
STU0071,12,Female,Public,Middle,88,76,49,35,6,5,4,8,5,2,1,3,10,4,8,4,0,0,0,0,1,5,0,0,0,0,0,0,Kinesthetic,26.430905858655933,19.453037984561895,47.918599863376585,37.01249151893003,68.09450038075967,48.908456806259096,39.593982113033874,19.468538339091328,Education,"['Social_Services', 'Arts_Media']",19.186043574500573
STU0072,12,Male,Public,Middle,90,99,73,72,-10,2,4,3,3,2,9,5,10,4,3,9,0,0,0,0,0,0,0,0,0,0,0,0,Kinesthetic,39.68479464463084,33.98289609232335,68.62793888612347,28.03801597497063,54.54514128972486,30.87345701617786,62.673583387865584,67.68406378549183,Arts_Media,"['Government_Law', 'Trades_Manufacturing']",0.9438751006316437
STU0073,8,Female,Public,Middle,70,89,76,83,6,2,-2,-1,2,5,2,4,8,5,10,4,1,3,0,0,0,0,0,0,1,3,0,0,Kinesthetic,25.2062203310467,30.859300271066115,37.00295408434141,59.299697702553814,80.22015030797827,67.75562004442524,44.12978200864679,54.0771782159389,Education,"['Social_Services', 'Healthcare']",12.46453026355303
STU0074,10,Female,Private,Middle,78,95,70,68,0,-10,10,-7,4,1,4,5,5,1,4,3,0,0,1,3,0,0,1,1,0,0,0,0,Visual,53.7524409409386,28.511063597028365,46.78469423935427,26.57581882643894,41.26085218466604,17.236286581203753,59.758732156261,41.61217872499993,Trades_Manufacturing,"['STEM', 'Arts_Media']",6.006291215322399
STU0075,12,Male,Public,Low,90,53,67,77,0,-1,0,13,8,2,9,1,9,7,7,5,0,0,0,0,0,0,0,0,0,0,1,3,Auditory,58.301579657358914,40.63877907307372,38.663187720672184,35.75878297719938,71.35744481024116,68.94421441232146,6.877655328604688,28.890587077119267,Education,"['Social_Services', 'STEM']",2.4132303979197047
